,,Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM),Arabinose (nM)
,,119,238,476,953,1907,3814,7629,15258,30517,61035,122070,244140,488281,976562,1953125,3906250,7812500,15625000,31250000,62500000,125000000,250000000,500000000,1000000000
Cycloserine,Replicate,,,,,,,,,,,,,,,,,,,,,,,,
100 uM,Rep 1,0.0473,0.0481,0.0509,0.0506,0.0483,0.0473,0.0471,0.0475,0.192,0.3322,0.3984,0.4063,0.4162,0.3913,0.4159,0.4137,0.3886,0.3471,0.3324,0.3231,0.3146,0.2802,0.2139,0.0815
100 uM,Rep 2,0.0473,0.0466,0.0518,0.0479,0.0477,0.0466,0.0518,0.0477,0.2013,0.4222,0.4149,0.4329,0.4258,0.4319,0.421,0.4263,0.3723,0.3523,0.3462,0.3301,0.3288,0.2798,0.1998,0.0771
100 uM,Rep 3,0.0473,0.048,0.0474,0.0473,0.0478,0.0468,0.0467,0.0477,0.1139,0.3463,0.395,0.3933,0.4137,0.4078,0.407,0.4099,0.381,0.3431,0.3158,0.3227,0.3086,0.2961,0.2202,0.0853
100 uM,Rep 4,0.0471,0.0483,0.0472,0.0472,0.0477,0.0474,0.051,0.0474,0.1512,0.3886,0.4236,0.4433,0.4276,0.4161,0.4087,0.4161,0.3558,0.3405,0.3356,0.3248,0.3327,0.2947,0.1889,0.0735
100 uM,Rep 5,0.0483,0.0478,0.0471,0.0468,0.0476,0.0472,0.0472,0.0474,0.1152,0.3628,0.4034,0.4097,0.4244,0.4092,0.4057,0.402,0.3663,0.3359,0.3216,0.3193,0.3164,0.2982,0.2106,0.0913
100 uM,Rep 6,0.0482,0.0473,0.0477,0.0466,0.0475,0.0479,0.0537,0.0478,0.16,0.3808,0.4188,0.445,0.4285,0.4208,0.4098,0.4067,0.3573,0.3367,0.329,0.3403,0.3329,0.293,0.2017,0.0723
100 uM,Rep 7,0.0479,0.0478,0.048,0.0475,0.0468,0.0477,0.0475,0.0472,0.0637,0.3203,0.3732,0.42,0.4115,0.4077,0.3981,0.3809,0.3746,0.3401,0.3218,0.3137,0.315,0.2981,0.2304,0.1002
100 uM,Rep 8,0.0484,0.0475,0.0487,0.0495,0.047,0.0477,0.0529,0.0471,0.2597,0.4309,0.4552,0.4439,0.4496,0.4293,0.4212,0.3927,0.3674,0.3397,0.3426,0.3399,0.3334,0.2903,0.1932,0.0745
100 uM,Mean,0.0477,0.0477,0.0486,0.0479,0.0476,0.0473,0.0497,0.0475,0.1571,0.373,0.4103,0.4243,0.4247,0.4143,0.4109,0.406,0.3704,0.3419,0.3306,0.3267,0.3228,0.2913,0.2073,0.082
100 uM,Std,0.0005,0.0005,0.0017,0.0013,0.0004,0.0004,0.0027,0.0002,0.0571,0.0376,0.0226,0.0186,0.0112,0.0124,0.0075,0.0133,0.0105,0.0051,0.01,0.0088,0.0095,0.007,0.0131,0.0092
None,Rep 1,0.3987,0.4056,0.4033,0.4021,0.4122,0.4022,0.3957,0.39,0.3699,0.3587,0.2929,0.2647,0.229,0.2319,0.2021,0.1924,0.1756,0.1659,0.1591,0.1629,0.157,0.1528,0.127,0.0742
None,Rep 2,0.4409,0.4124,0.4293,0.4332,0.4296,0.4404,0.4293,0.4298,0.383,0.3559,0.3056,0.2443,0.2447,0.2078,0.2066,0.1923,0.1743,0.1675,0.1636,0.1615,0.1575,0.1523,0.1245,0.0548
None,Rep 3,0.4268,0.4302,0.4212,0.4297,0.4164,0.4332,0.429,0.4193,0.3888,0.3554,0.302,0.2682,0.2471,0.2304,0.2045,0.2003,0.1705,0.1594,0.1525,0.1537,0.1495,0.1477,0.1164,0.066
None,Rep 4,0.4236,0.4318,0.449,0.4344,0.4577,0.4407,0.4389,0.426,0.4014,0.3569,0.2958,0.2775,0.2389,0.2085,0.2013,0.1817,0.1716,0.1596,0.1588,0.1555,0.1509,0.1434,0.119,0.0551
None,Rep 5,0.4069,0.4295,0.4276,0.4273,0.4336,0.4331,0.434,0.4255,0.3894,0.3627,0.2997,0.268,0.2462,0.232,0.202,0.187,0.1685,0.162,0.1546,0.1547,0.1535,0.1474,0.1222,0.0682
None,Rep 6,0.4571,0.432,0.438,0.4467,0.4383,0.4394,0.4463,0.4291,0.4069,0.3673,0.3061,0.271,0.2493,0.2163,0.2016,0.185,0.1662,0.1625,0.1593,0.1585,0.1583,0.1445,0.1148,0.0572
None,Rep 7,0.4046,0.4294,0.4265,0.4252,0.4243,0.4358,0.398,0.3965,0.3669,0.3473,0.2868,0.2588,0.2483,0.2104,0.184,0.172,0.1608,0.158,0.1487,0.1515,0.1589,0.1403,0.1173,0.0656
None,Rep 8,0.4404,0.4343,0.4297,0.4264,0.4347,0.4388,0.4553,0.4314,0.4083,0.3438,0.301,0.2709,0.2412,0.2054,0.1861,0.1759,0.1592,0.1565,0.1584,0.1555,0.1552,0.1445,0.1159,0.0599
None,Mean,0.4249,0.4256,0.4281,0.4281,0.4308,0.433,0.4283,0.4184,0.3893,0.356,0.2987,0.2654,0.2431,0.2178,0.1985,0.1858,0.1683,0.1614,0.1569,0.1567,0.1551,0.1466,0.1196,0.0626
None,Std,0.0192,0.0099,0.0123,0.0117,0.0132,0.012,0.0199,0.015,0.0147,0.0071,0.0062,0.0094,0.0063,0.0109,0.008,0.0087,0.0056,0.0036,0.0044,0.0037,0.0033,0.004,0.0042,0.0065
