,Plate 384,Well 384,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
0,Plate01,A01,Plate01,A01,DMSO,nan,nan,nan,,
1,Plate01,A02,Plate02,A01,DMSO,nan,nan,nan,,
2,Plate01,A03,Plate01,A02,Azaguanine-8,Prestw-1,134-58-7,C4H4N6O,['Oncology'],['Antineoplastic']
3,Plate01,A04,Plate02,A02,Metronidazole,Prestw-81,443-48-1,C6H9N3O3,"['Infectiology', 'Metabolism']","['Antiamebic', 'Antibacterial', 'Antiprotozoal']"
4,Plate01,A05,Plate01,A03,Allantoin,Prestw-2,97-59-6,C4H6N4O3,['Dermatology'],"['Antipsoriatic', 'Vulnerary']"
5,Plate01,A06,Plate02,A03,Fulvestrant,Prestw-1424,129453-61-8,C32H47F5O3S,"['Endocrinology', 'Oncology']",['Antineoplastic']
6,Plate01,A07,Plate01,A04,Acetazolamide,Prestw-3,59-66-5,C4H6N4O3S2,['Metabolism'],"['Anticonvulsant', 'Antiglaucoma', 'Diuretic']"
7,Plate01,A08,Plate02,A04,Edrophonium chloride,Prestw-83,116-38-1,C10H16ClNO,"['Diagnostic', 'Neuromuscular']",['Anti-fatigue']
8,Plate01,A09,Plate01,A05,Metformin hydrochloride,Prestw-4,1115-70-4,C4H12ClN5,['Endocrinology'],"['Anorectic', 'Antidiabetic', 'Antilipemic']"
9,Plate01,A10,Plate02,A05,Moroxidine hydrochloride,Prestw-84,3160-91-6,C6H14ClN5O,['Infectiology'],['Antiviral']
10,Plate01,A11,Plate01,A06,Atracurium besylate,Prestw-5,64228-81-5,C65H82N2O18S2,['Neuromuscular'],['Curarizing']
11,Plate01,A12,Plate02,A06,"Baclofen (R,S)",Prestw-85,1134-47-0,C10H12ClNO2,['Central Nervous System'],"['Antispastic', 'Muscle relaxant']"
12,Plate01,A13,Plate01,A07,Isoflupredone acetate,Prestw-6,338-98-7,C23H29FO6,['Endocrinology'],['Anti-inflammatory']
