,Plate 96,Well 96,Chemical name,Prestwick number,CAS number,Chemical formula,Class,Effect
0,Plate01,A01,DMSO,,,,,
1,Plate01,A02,Azaguanine-8,Prestw-1,134-58-7,C4H4N6O,['Oncology'],['Antineoplastic']
2,Plate01,A03,Allantoin,Prestw-2,97-59-6,C4H6N4O3,['Dermatology'],"['Antipsoriatic', 'Vulnerary']"
3,Plate01,A04,Acetazolamide,Prestw-3,59-66-5,C4H6N4O3S2,['Metabolism'],"['Anticonvulsant', 'Antiglaucoma', 'Diuretic']"
4,Plate01,A05,Metformin hydrochloride,Prestw-4,1115-70-4,C4H12ClN5,['Endocrinology'],"['Anorectic', 'Antidiabetic', 'Antilipemic']"
5,Plate01,A06,Atracurium besylate,Prestw-5,64228-81-5,C65H82N2O18S2,['Neuromuscular'],['Curarizing']
6,Plate01,A07,Isoflupredone acetate,Prestw-6,338-98-7,C23H29FO6,['Endocrinology'],['Anti-inflammatory']
7,Plate01,A08,Amiloride hydrochloride dihydrate,Prestw-7,17440-83-4,C6H13Cl2N7O3,['Metabolism'],"['Antihypertensive', 'Diuretic']"
8,Plate01,A09,Amprolium hydrochloride,Prestw-8,137-88-2,C14H20Cl2N4,"['Infectiology', 'Metabolism']","['Anticoccidial', 'Antiparasitic']"
9,Plate01,A10,Hydrochlorothiazide,Prestw-9,58-93-5,C7H8ClN3O4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
10,Plate01,A11,Sulfaguanidine,Prestw-10,57-67-0,C7H10N4O2S,"['Infectiology', 'Metabolism']",['Antibacterial']
11,Plate01,A12,DMSO,,,,,
12,Plate01,B01,DMSO,,,,,
13,Plate01,B02,Meticrane,Prestw-11,1084-65-7,C10H13NO4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
14,Plate01,B03,Benzonatate,Prestw-12,104-31-4,C30H53NO11,['Neuromuscular'],"['Antitussive', 'Local anesthetic']"
15,Plate01,B04,Hydroflumethiazide,Prestw-13,135-09-1,C8H8F3N3O4S2,['Metabolism'],"['Antihypertensive', 'Diuretic']"
16,Plate01,B05,Sulfacetamide sodic hydrate,Prestw-14,6209-17-2,C8H11N2NaO4S,"['Dermatology', 'Infectiology', 'Metabolism']","['Antibacterial', 'Antipsoriatic']"
17,Plate01,B06,Heptaminol hydrochloride,Prestw-15,543-15-7,C8H20ClNO,['Cardiovascular'],"['Analeptic', 'Positive inotropic', 'Vasodilator']"
18,Plate01,B07,Sulfathiazole,Prestw-16,72-14-0,C9H9N3O2S2,"['Infectiology', 'Metabolism']",['Antibacterial']
19,Plate01,B08,Levodopa,Prestw-17,59-92-7,C9H11NO4,['Central Nervous System'],['Antiparkinsonian']
20,Plate01,B09,Idoxuridine,Prestw-18,54-42-2,C9H11IN2O5,['Infectiology'],['Antiviral']
21,Plate01,B10,Captopril,Prestw-19,62571-86-2,C9H15NO3S,['Cardiovascular'],"['Antihypertensive', 'Vasodilator']"
22,Plate01,B11,Minoxidil,Prestw-20,38304-91-5,C9H15N5O,['Cardiovascular'],"['Anti-alopecia', 'Antihypertensive', 'Vasodilator']"
23,Plate01,B12,DMSO,,,,,
24,Plate01,C01,DMSO,,,,,
25,Plate01,C02,Sulfaphenazole,Prestw-21,526-08-9,C15H14N4O2S,"['Infectiology', 'Metabolism']",['Antibacterial']
26,Plate01,C03,Panthenol (D),Prestw-22,81-13-0,C9H19NO4,['Metabolism'],['Anti-alopecia']
27,Plate01,C04,Sulfadiazine,Prestw-23,68-35-9,C10H10N4O2S,"['Infectiology', 'Metabolism']",['Antibacterial']
28,Plate01,C05,Norethynodrel,Prestw-24,68-23-5,C20H26O2,['Endocrinology'],['Contraceptive']
29,Plate01,C06,Thiamphenicol,Prestw-25,15318-45-3,C12H15Cl2NO5S,"['Infectiology', 'Metabolism']",['Antibacterial']
30,Plate01,C07,Cimetidine,Prestw-26,51481-61-9,C10H16N6S,['Gastroenterology'],['Antiulcer']
31,Plate01,C08,Doxylamine succinate,Prestw-27,562-10-7,C21H28N2O5,"['Allergology', 'Central Nervous System']","['Anti-anorectic', 'Antiemetic', 'Antihistaminic', 'Antitussive', 'Sedative']"
32,Plate01,C09,Ethambutol dihydrochloride,Prestw-28,1070-11-7,C10H26Cl2N2O2,['Infectiology'],['Antibacterial']
33,Plate01,C10,Antipyrine,Prestw-29,60-80-0,C11H12N2O,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
34,Plate01,C11,"Antipyrine, 4-hydroxy",Prestw-30,1672-63-5,C11H12N2O2,['Metabolism'],[nan]
35,Plate01,C12,DMSO,,,,,
36,Plate01,D01,DMSO,,,,,
37,Plate01,D02,Chloramphenicol,Prestw-31,56-75-7,C11H12Cl2N2O5,"['Infectiology', 'Metabolism']",['Antibacterial']
38,Plate01,D03,Epirizole,Prestw-32,18694-40-1,C11H14N4O2,['Central Nervous System'],"['Analgesic', 'Anti-inflammatory', 'Antipyretic']"
39,Plate01,D04,Diprophylline,Prestw-33,479-18-5,C10H14N4O4,"['Cardiovascular', 'Respiratory']","['Analeptic', 'Antispastic', 'Bronchodilator', 'Diuretic']"
40,Plate01,D05,Triamterene,Prestw-34,396-01-0,C12H11N7,['Metabolism'],"['Antihypertensive', 'Diuretic']"
41,Plate01,D06,Dapsone,Prestw-35,80-08-0,C12H12N2O2S,['Infectiology'],"['Antibacterial', 'Antimalarial']"
42,Plate01,D07,Troleandomycin,Prestw-36,2751-09-9,C41H67NO15,"['Infectiology', 'Metabolism']",['Antibacterial']
43,Plate01,D08,Pyrimethamine,Prestw-37,58-14-0,C12H13ClN4,['Infectiology'],"['Antimalarial', 'Antiprotozoal']"
44,Plate01,D09,Hexamethonium dibromide dihydrate,Prestw-38,55-97-0,C12H34Br2N2O2,"['Cardiovascular', 'Neuromuscular']",['Antihypertensive']
45,Plate01,D10,Diflunisal,Prestw-39,22494-42-4,C13H8F2O3,"['Central Nervous System', 'Metabolism']","['Analgesic', 'Anti-inflammatory', 'Antipyretic', 'Uricosuric']"
46,Plate01,D11,Niclosamide,Prestw-40,50-65-7,C13H8Cl2N2O4,['Infectiology'],['Antihelmintic']
47,Plate01,D12,DMSO,,,,,
48,Plate01,E01,DMSO,,,,,
49,Plate01,E02,Procaine hydrochloride,Prestw-41,51-05-8,C13H21ClN2O2,['Neuromuscular'],['Local anesthetic']
50,Plate01,E03,Moxisylyte hydrochoride,Prestw-42,964-52-3,C16H26ClNO3,['Cardiovascular'],"['Erectile dysfunction treatment', 'Vasodilator']"
