Strain,Treatment,Replicate,0.0,100.0,1000.0,10000.0,100000.0,1000000.0,10000000.0,100000000.0
TESEC Mtb ALR,Benazeprilat,Rep 1,0.28589,0.2829,0.294,0.32281,0.44422,0.39024,0.333,0.29624
TESEC Mtb ALR,Benazeprilat,Rep 2,0.27704,0.27532,0.2787,0.31332,0.41522,0.39486,0.3241,0.30643
TESEC Mtb ALR,Benazeprilat,Rep 3,0.2693,0.26927,0.26761,0.30905,0.39453,0.39874,0.32209,0.30684
TESEC Mtb ALR,Benazepril,Rep 1,0.065826,0.063596,0.063874,0.075287,0.33101,0.38477,0.31668,0.29167
TESEC Mtb ALR,Benazepril,Rep 2,0.071351,0.064847,0.065019,0.080611,0.32645,0.38133,0.31882,0.29742
TESEC Mtb ALR,Benazepril,Rep 3,0.06774,0.066119,0.064484,0.090503,0.32562,0.36088,0.30844,0.29757
TESEC Mtb ALR,DCS,Rep 1,0.054242,0.053714,0.052549,0.052601,0.14912,0.33782,0.29109,0.29616
TESEC Mtb ALR,DCS,Rep 2,0.052585,0.052597,0.050471,0.056806,0.1544,0.33484,0.29727,0.2973
TESEC Mtb ALR,DCS,Rep 3,0.0527,0.052544,0.052604,0.062588,0.14543,0.33581,0.29707,0.29723
TESEC Mtb ALR,DMSO,Rep 1,0.27071,0.26565,0.27329,0.29165,0.37328,0.37953,0.32473,0.30991
TESEC Mtb ALR,DMSO,Rep 2,0.27018,0.2586,0.27335,0.30684,0.36524,0.3744,0.31323,0.31414
TESEC Mtb ALR,DMSO,Rep 3,0.27845,0.28314,0.27897,0.28875,0.37186,0.36587,0.31938,0.30179
TESEC Mtb ALR Efflux+,Benazeprilat,Rep 1,0.19712,0.19572,0.24385,0.3283,0.4124,0.38868,0.38221,0.32669
TESEC Mtb ALR Efflux+,Benazeprilat,Rep 2,0.19841,0.18368,0.21397,0.32039,0.37617,0.37718,0.36418,0.32712
TESEC Mtb ALR Efflux+,Benazeprilat,Rep 3,0.18657,0.18622,0.20768,0.31859,0.37731,0.3801,0.36279,0.33215
TESEC Mtb ALR Efflux+,Benazepril,Rep 1,0.21111,0.18728,0.20936,0.30419,0.37621,0.39053,0.38685,0.3346
TESEC Mtb ALR Efflux+,Benazepril,Rep 2,0.19826,0.19571,0.20312,0.29996,0.37133,0.38624,0.35928,0.3383
TESEC Mtb ALR Efflux+,Benazepril,Rep 3,0.19905,0.18194,0.20558,0.30054,0.36591,0.37626,0.36034,0.33608
TESEC Mtb ALR Efflux+,DCS,Rep 1,0.091859,0.053145,0.053218,0.054889,0.05402,0.20403,0.2972,0.30762
TESEC Mtb ALR Efflux+,DCS,Rep 2,0.053654,0.053845,0.051529,0.052739,0.052329,0.18534,0.2842,0.30038
TESEC Mtb ALR Efflux+,DCS,Rep 3,0.05308,0.053342,0.090177,0.05441,0.052927,0.2131,0.30792,0.30449
TESEC Mtb ALR Efflux+,DMSO,Rep 1,0.19114,0.18628,0.20847,0.3077,0.36352,0.39253,0.3518,0.34234
TESEC Mtb ALR Efflux+,DMSO,Rep 2,0.20199,0.19101,0.21115,0.30976,0.36405,0.38128,0.3508,0.344
TESEC Mtb ALR Efflux+,DMSO,Rep 3,0.19804,0.19315,0.21589,0.32024,0.3612,0.38607,0.33494,0.33687
