,,Benazepril (mM),Benazepril (mM),Benazepril (mM),Benazepril (mM),Benazepril (mM),Benazepril (mM),Benazepril (mM),Benazepril (mM),Benazepril (mM)
,,0.0,0.0625,0.125,0.2,0.25,0.3,0.4,0.5,1.0
Alanine (mM),Replicate,,,,,,,,,
0.0,Rep 1,-0.5,-1.1,0.4,-1.2,0.6,-1.4,-5.7,3.2,1.0
0.0,Rep 2,-2.2,-0.3,1.9,-1.7,0.9,0.3,-0.5,4.4,2.4
0.0,Rep 3,2.0,0.1,1.2,2.7,8.0,3.0,3.7,4.3,-5.7
0.5,Rep 1,35.9,27.4,21.1,16.7,13.5,9.7,-1.5,0.8,-0.2
0.5,Rep 2,30.8,24.1,19.4,24.4,13.2,14.4,4.3,1.8,0.1
0.5,Rep 3,37.3,27.6,23.1,25.2,15.9,13.8,7.2,3.0,-0.2
1.0,Rep 1,44.3,25.1,25.4,24.6,18.2,19.9,1.0,1.9,-1.0
1.0,Rep 2,39.9,26.0,26.2,32.8,17.7,23.5,10.5,3.5,0.1
1.0,Rep 3,47.8,30.2,29.9,35.7,21.7,26.8,13.5,3.1,-0.3
2.0,Rep 1,40.2,35.9,38.6,32.9,26.0,16.9,6.1,2.6,3.3
2.0,Rep 2,40.2,35.8,37.7,34.7,24.8,23.0,13.8,3.4,4.7
2.0,Rep 3,44.5,40.9,41.9,40.2,29.1,26.9,19.8,2.8,-0.5
2.5,Rep 1,39.8,39.5,44.8,34.3,32.9,24.3,10.1,3.5,-0.3
2.5,Rep 2,38.7,39.4,44.0,36.0,28.6,27.2,14.6,3.0,0.7
2.5,Rep 3,45.4,48.1,49.8,37.5,28.6,30.9,22.1,3.0,-4.7
3.0,Rep 1,49.4,44.5,46.7,41.9,35.2,27.5,13.0,7.6,-0.5
3.0,Rep 2,48.0,45.3,47.3,43.7,32.0,31.9,19.1,6.7,0.8
3.0,Rep 3,53.8,48.1,50.3,47.3,37.9,35.9,26.9,7.2,-3.2
4.0,Rep 1,50.9,48.8,51.9,46.2,34.0,28.1,7.5,3.3,-0.4
4.0,Rep 2,49.5,49.5,51.6,45.5,36.2,33.4,22.1,4.1,1.1
4.0,Rep 3,58.5,55.8,60.7,51.3,40.0,37.7,32.6,6.6,-1.0
6.0,Rep 1,58.9,57.5,58.1,49.5,43.5,34.4,16.9,7.5,0.9
6.0,Rep 2,53.8,58.5,58.9,50.7,41.8,38.5,33.3,7.7,1.6
6.0,Rep 3,64.5,67.1,62.4,58.3,44.7,43.3,28.5,6.6,-0.3
8.0,Rep 1,63.9,65.8,66.0,53.8,50.1,38.3,9.8,7.9,0.2
8.0,Rep 2,62.5,67.7,67.9,58.3,49.8,43.5,34.8,9.0,1.6
8.0,Rep 3,71.5,71.7,70.8,63.8,52.8,50.8,38.0,6.5,-0.8
12.0,Rep 1,85.1,84.0,83.9,74.2,63.2,52.8,25.4,12.9,0.2
12.0,Rep 2,82.7,91.4,85.6,75.8,70.6,59.9,36.0,13.8,2.0
12.0,Rep 3,91.8,92.1,85.4,79.2,62.1,65.9,47.0,8.6,-0.7
16.0,Rep 1,88.3,93.8,92.1,77.3,73.3,48.9,11.3,11.0,-0.6
16.0,Rep 2,85.2,94.3,93.1,75.0,72.4,61.6,40.0,17.5,0.6
16.0,Rep 3,97.8,95.0,88.3,82.6,73.1,64.6,45.3,11.1,-0.9
20.0,Rep 1,97.8,97.6,100.8,79.7,77.8,56.5,14.2,11.4,1.0
20.0,Rep 2,94.6,92.6,104.4,76.2,40.9,67.7,38.2,14.8,0.9
20.0,Rep 3,107.6,104.4,86.3,86.5,71.5,65.8,33.4,4.0,-1.2
